run_id,strategy,oracle,round,kp_f1w,kp_recall_phish
core_set_llm_periodic_temporal,core_set,llm,25,0.9756216415756748,0.9665841584158416
core_set_llm_periodic_temporal_B,core_set,llm,0,0.9806166750190743,0.9764851485148516
core_set_llm_periodic_temporal_B,core_set,llm,1,0.9795065388336702,0.974009900990099
core_set_llm_periodic_temporal_B,core_set,llm,2,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,3,0.9783987841760308,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,4,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,5,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,6,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,7,0.9800591723746428,0.974009900990099
core_set_llm_periodic_temporal_B,core_set,llm,8,0.9806093825603956,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,9,0.9806093825603956,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,10,0.9806093825603956,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,11,0.9806093825603956,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,12,0.9806093825603956,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,13,0.9800566467600328,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,14,0.9800566467600328,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,15,0.9800566467600328,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,16,0.9800566467600328,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,17,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,18,0.9800566467600328,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,19,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,20,0.9795039691291906,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,21,0.9783987841760308,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,22,0.9783987841760308,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,23,0.9783987841760308,0.9727722772277227
core_set_llm_periodic_temporal_B,core_set,llm,24,0.9778407186222589,0.9702970297029704
core_set_llm_periodic_temporal_B,core_set,llm,25,0.9778407186222589,0.9702970297029704
drift_anchored_B_kimi_seed2025,drift_anchored,llm,0,0.9806166750190743,0.9764851485148516
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,2,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,3,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,4,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,5,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,6,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,7,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,8,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,9,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,10,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,11,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,12,0.9806142934913096,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,13,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,14,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,15,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,16,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,17,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,18,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,19,0.9806166750190743,0.9764851485148516
drift_anchored_B_kimi_seed2025,drift_anchored,llm,20,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,21,0.9806166750190743,0.9764851485148516
drift_anchored_B_kimi_seed2025,drift_anchored,llm,22,0.9806166750190743,0.9764851485148516
drift_anchored_B_kimi_seed2025,drift_anchored,llm,23,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,24,0.9800616472799516,0.9752475247524752
drift_anchored_B_kimi_seed2025,drift_anchored,llm,25,0.9800616472799516,0.9752475247524752
drift_anchored_B_seed2025,drift_anchored,llm,0,0.9806166750190743,0.9764851485148516
drift_anchored_B_seed2025,drift_anchored,llm,1,0.9806166750190743,0.9764851485148516
drift_anchored_B_seed2025,drift_anchored,llm,2,0.9800616472799516,0.9752475247524752
drift_anchored_B_seed2025,drift_anchored,llm,3,0.9795065388336702,0.974009900990099
drift_anchored_B_seed2025,drift_anchored,llm,4,0.9795065388336702,0.974009900990099
drift_anchored_B_seed2025,drift_anchored,llm,5,0.9806142934913096,0.9752475247524752
drift_anchored_B_seed2025,drift_anchored,llm,6,0.9806142934913096,0.9752475247524752
drift_anchored_B_seed2025,drift_anchored,llm,7,0.9806142934913096,0.9752475247524752
drift_anchored_B_seed2025,drift_anchored,llm,8,0.9806118626897748,0.974009900990099
drift_anchored_B_seed2025,drift_anchored,llm,9,0.9806118626897748,0.974009900990099
drift_anchored_B_seed2025,drift_anchored,llm,10,0.9800566467600328,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,11,0.9795065388336702,0.974009900990099
drift_anchored_B_seed2025,drift_anchored,llm,12,0.9789513486176784,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,13,0.9795039691291906,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,14,0.9800566467600328,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,15,0.9800566467600328,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,16,0.9806093825603956,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,17,0.9800566467600328,0.9727722772277227
drift_anchored_B_seed2025,drift_anchored,llm,18,0.9795039691291906,0.9727722772277227
